0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , -10
1 , 42.1015 , 72.5898 , North America , Jan , 2 , 2016 , 30
2 , 42.1015 , 72.5898 , North America , Jan , 3 , 2016 , -9
3 , 42.1015 , 72.5898 , North America , Jan , 4 , 2016 , 7
4 , 42.1015 , 72.5898 , North America , Jan , 5 , 2016 , -10
5 , 42.1015 , 72.5898 , North America , Jan , 6 , 2016 , 30
6 , 42.1015 , 72.5898 , North America , Jan , 7 , 2016 , 15
7 , 42.1015 , 72.5898 , North America , Jan , 8 , 2016 , -10
8 , 42.1015 , 72.5898 , North America , Jan , 9 , 2016 , -8
9 , 42.1015 , 72.5898 , North America , Jan , 10 , 2016 , 3
10 , 42.1015 , 72.5898 , North America , Jan , 11 , 2016 , 12
11 , 42.1015 , 72.5898 , North America , Jan , 12 , 2016 , 0
12 , 42.1015 , 72.5898 , North America , Jan , 13 , 2016 , -9
13 , 42.1015 , 72.5898 , North America , Jan , 14 , 2016 , 30
14 , 42.1015 , 72.5898 , North America , Jan , 15 , 2016 , -7
15 , 42.1015 , 72.5898 , North America , Jan , 16 , 2016 , -10
16 , 42.1015 , 72.5898 , North America , Jan , 17 , 2016 , 15
17 , 42.1015 , 72.5898 , North America , Jan , 18 , 2016 , -2
18 , 42.1015 , 72.5898 , North America , Jan , 19 , 2016 , -5
19 , 42.1015 , 72.5898 , North America , Jan , 20 , 2016 , 26
20 , 42.1015 , 72.5898 , North America , Jan , 21 , 2016 , 22
21 , 42.1015 , 72.5898 , North America , Jan , 22 , 2016 , 7
22 , 42.1015 , 72.5898 , North America , Jan , 23 , 2016 , 19
23 , 42.1015 , 72.5898 , North America , Jan , 24 , 2016 , -9
24 , 42.1015 , 72.5898 , North America , Jan , 25 , 2016 , -6
25 , 42.1015 , 72.5898 , North America , Jan , 26 , 2016 , 8
26 , 42.1015 , 72.5898 , North America , Jan , 27 , 2016 , 27
27 , 42.1015 , 72.5898 , North America , Jan , 28 , 2016 , 14
28 , 42.1015 , 72.5898 , North America , Jan , 29 , 2016 , -8
29 , 42.1015 , 72.5898 , North America , Jan , 30 , 2016 , 5
30 , 42.1015 , 72.5898 , North America , Jan , 31 , 2016 , 20
31 , 42.1015 , 72.5898 , North America , Feb , 1 , 2016 , 42
32 , 42.1015 , 72.5898 , North America , Feb , 2 , 2016 , 38
33 , 42.1015 , 72.5898 , North America , Feb , 3 , 2016 , 21
34 , 42.1015 , 72.5898 , North America , Feb , 4 , 2016 , 13
35 , 42.1015 , 72.5898 , North America , Feb , 5 , 2016 , 39
36 , 42.1015 , 72.5898 , North America , Feb , 6 , 2016 , 14
37 , 42.1015 , 72.5898 , North America , Feb , 7 , 2016 , 29
38 , 42.1015 , 72.5898 , North America , Feb , 8 , 2016 , 0
39 , 42.1015 , 72.5898 , North America , Feb , 9 , 2016 , 31
40 , 42.1015 , 72.5898 , North America , Feb , 10 , 2016 , 22
41 , 42.1015 , 72.5898 , North America , Feb , 11 , 2016 , 19
42 , 42.1015 , 72.5898 , North America , Feb , 12 , 2016 , 43
43 , 42.1015 , 72.5898 , North America , Feb , 13 , 2016 , 46
44 , 42.1015 , 72.5898 , North America , Feb , 14 , 2016 , 26
45 , 42.1015 , 72.5898 , North America , Feb , 15 , 2016 , 21
46 , 42.1015 , 72.5898 , North America , Feb , 16 , 2016 , 47
47 , 42.1015 , 72.5898 , North America , Feb , 17 , 2016 , 27
48 , 42.1015 , 72.5898 , North America , Feb , 18 , 2016 , 43
49 , 42.1015 , 72.5898 , North America , Feb , 19 , 2016 , 22
50 , 22.9068 , 43.1729 , South America , Jan , 1 , 2015 , 96
51 , 22.9068 , 43.1729 , South America , Jan , 2 , 2015 , 94
52 , 22.9068 , 43.1729 , South America , Jan , 3 , 2015 , 82
53 , 22.9068 , 43.1729 , South America , Jan , 4 , 2015 , 75
54 , 22.9068 , 43.1729 , South America , Jan , 5 , 2015 , 77
55 , 22.9068 , 43.1729 , South America , Jan , 6 , 2015 , 81
56 , 22.9068 , 43.1729 , South America , Jan , 7 , 2015 , 97
