0 , 42.1015 , 72.5898 , North America , Jan , 1 , 2016 , 26
1 , 42.1015 , 72.5898 , North America , Jan , 2 , 2016 , -7
2 , 42.1015 , 72.5898 , North America , Jan , 3 , 2016 , 2
3 , 42.1015 , 72.5898 , North America , Jan , 4 , 2016 , 0
4 , 42.1015 , 72.5898 , North America , Jan , 5 , 2016 , -5
5 , 42.1015 , 72.5898 , North America , Jan , 6 , 2016 , 14
6 , 42.1015 , 72.5898 , North America , Jan , 7 , 2016 , -10
7 , 42.1015 , 72.5898 , North America , Jan , 8 , 2016 , 7
8 , 42.1015 , 72.5898 , North America , Jan , 9 , 2016 , 13
9 , 42.1015 , 72.5898 , North America , Jan , 10 , 2016 , 0
10 , 42.1015 , 72.5898 , North America , Jan , 11 , 2016 , 20
11 , 42.1015 , 72.5898 , North America , Jan , 12 , 2016 , 18
12 , 42.1015 , 72.5898 , North America , Jan , 13 , 2016 , -10
13 , 42.1015 , 72.5898 , North America , Jan , 14 , 2016 , 13
14 , 42.1015 , 72.5898 , North America , Jan , 15 , 2016 , 24
15 , 42.1015 , 72.5898 , North America , Jan , 16 , 2016 , 16
16 , 42.1015 , 72.5898 , North America , Jan , 17 , 2016 , -8
17 , 42.1015 , 72.5898 , North America , Jan , 18 , 2016 , 4
18 , 42.1015 , 72.5898 , North America , Jan , 19 , 2016 , 11
19 , 42.1015 , 72.5898 , North America , Jan , 20 , 2016 , 5
20 , 42.1015 , 72.5898 , North America , Jan , 21 , 2016 , 16
21 , 42.1015 , 72.5898 , North America , Jan , 22 , 2016 , -9
22 , 42.1015 , 72.5898 , North America , Jan , 23 , 2016 , 17
23 , 42.1015 , 72.5898 , North America , Jan , 24 , 2016 , 4
24 , 42.1015 , 72.5898 , North America , Jan , 25 , 2016 , 4
25 , 42.1015 , 72.5898 , North America , Jan , 26 , 2016 , -2
26 , 42.1015 , 72.5898 , North America , Jan , 27 , 2016 , 11
27 , 42.1015 , 72.5898 , North America , Jan , 28 , 2016 , 3
28 , 42.1015 , 72.5898 , North America , Jan , 29 , 2016 , 20
29 , 42.1015 , 72.5898 , North America , Jan , 30 , 2016 , -6
30 , 42.1015 , 72.5898 , North America , Jan , 31 , 2016 , 1
31 , 42.1015 , 72.5898 , North America , Feb , 1 , 2016 , 34
32 , 42.1015 , 72.5898 , North America , Feb , 2 , 2016 , 46
33 , 42.1015 , 72.5898 , North America , Feb , 3 , 2016 , 45
34 , 42.1015 , 72.5898 , North America , Feb , 4 , 2016 , 22
35 , 42.1015 , 72.5898 , North America , Feb , 5 , 2016 , 49
36 , 42.1015 , 72.5898 , North America , Feb , 6 , 2016 , 13
37 , 42.1015 , 72.5898 , North America , Feb , 7 , 2016 , 4
38 , 42.1015 , 72.5898 , North America , Feb , 8 , 2016 , 4
39 , 42.1015 , 72.5898 , North America , Feb , 9 , 2016 , 47
40 , 42.1015 , 72.5898 , North America , Feb , 10 , 2016 , 13
41 , 42.1015 , 72.5898 , North America , Feb , 11 , 2016 , 20
42 , 42.1015 , 72.5898 , North America , Feb , 12 , 2016 , 22
43 , 42.1015 , 72.5898 , North America , Feb , 13 , 2016 , 27
44 , 42.1015 , 72.5898 , North America , Feb , 14 , 2016 , 29
45 , 42.1015 , 72.5898 , North America , Feb , 15 , 2016 , 19
46 , 42.1015 , 72.5898 , North America , Feb , 16 , 2016 , 35
47 , 42.1015 , 72.5898 , North America , Feb , 17 , 2016 , 14
48 , 42.1015 , 72.5898 , North America , Feb , 18 , 2016 , 12
49 , 42.1015 , 72.5898 , North America , Feb , 19 , 2016 , 36
50 , 42.1015 , 72.5898 , North America , Feb , 20 , 2016 , 18
51 , 42.1015 , 72.5898 , North America , Feb , 21 , 2016 , 14
52 , 42.1015 , 72.5898 , North America , Feb , 22 , 2016 , 1
53 , 42.1015 , 72.5898 , North America , Feb , 23 , 2016 , 25
54 , 42.1015 , 72.5898 , North America , Feb , 24 , 2016 , 37
55 , 42.1015 , 72.5898 , North America , Feb , 25 , 2016 , 36
56 , 42.1015 , 72.5898 , North America , Feb , 26 , 2016 , 9
57 , 42.1015 , 72.5898 , North America , Feb , 27 , 2016 , 4
58 , 42.1015 , 72.5898 , North America , Feb , 28 , 2016 , 36
59 , 42.1015 , 72.5898 , North America , Feb , 29 , 2016 , 29
60 , 42.1015 , 72.5898 , North America , Feb , 30 , 2016 , 41
61 , 42.1015 , 72.5898 , North America , Feb , 31 , 2016 , 6
62 , 42.1015 , 72.5898 , North America , Feb , 32 , 2016 , 43
63 , 42.1015 , 72.5898 , North America , Feb , 33 , 2016 , 9
64 , 42.1015 , 72.5898 , North America , Feb , 34 , 2016 , 40
65 , 42.1015 , 72.5898 , North America , Feb , 35 , 2016 , 45
66 , 42.1015 , 72.5898 , North America , Feb , 36 , 2016 , 33
67 , 42.1015 , 72.5898 , North America , Feb , 37 , 2016 , 33
68 , 42.1015 , 72.5898 , North America , Feb , 38 , 2016 , 27
69 , 42.1015 , 72.5898 , North America , Mar , 1 , 2016 , 25
70 , 42.1015 , 72.5898 , North America , Mar , 2 , 2016 , 10
71 , 42.1015 , 72.5898 , North America , Mar , 3 , 2016 , 33
72 , 42.1015 , 72.5898 , North America , Mar , 4 , 2016 , 39
73 , 42.1015 , 72.5898 , North America , Mar , 5 , 2016 , 39
74 , 42.1015 , 72.5898 , North America , Mar , 6 , 2016 , 19
75 , 42.1015 , 72.5898 , North America , Mar , 7 , 2016 , 29
76 , 42.1015 , 72.5898 , North America , Mar , 8 , 2016 , 13
77 , 42.1015 , 72.5898 , North America , Mar , 9 , 2016 , 43
78 , 42.1015 , 72.5898 , North America , Mar , 10 , 2016 , 28
79 , 42.1015 , 72.5898 , North America , Mar , 11 , 2016 , 43
80 , 42.1015 , 72.5898 , North America , Mar , 12 , 2016 , 48
81 , 42.1015 , 72.5898 , North America , Mar , 13 , 2016 , 25
82 , 42.1015 , 72.5898 , North America , Mar , 14 , 2016 , 26
83 , 42.1015 , 72.5898 , North America , Mar , 15 , 2016 , 18
84 , 42.1015 , 72.5898 , North America , Mar , 16 , 2016 , 20
85 , 42.1015 , 72.5898 , North America , Mar , 17 , 2016 , 36
86 , 42.1015 , 72.5898 , North America , Mar , 18 , 2016 , 41
87 , 42.1015 , 72.5898 , North America , Mar , 19 , 2016 , 19
88 , 42.1015 , 72.5898 , North America , Mar , 20 , 2016 , 31
89 , 42.1015 , 72.5898 , North America , Mar , 21 , 2016 , 19
90 , 42.1015 , 72.5898 , North America , Mar , 22 , 2016 , 42
91 , 42.1015 , 72.5898 , North America , Mar , 23 , 2016 , 42
92 , 42.1015 , 72.5898 , North America , Mar , 24 , 2016 , 49
93 , 42.1015 , 72.5898 , North America , Mar , 25 , 2016 , 19
94 , 42.1015 , 72.5898 , North America , Mar , 26 , 2016 , 13
95 , 42.1015 , 72.5898 , North America , Mar , 27 , 2016 , 48
96 , 42.1015 , 72.5898 , North America , Mar , 28 , 2016 , 23
97 , 42.1015 , 72.5898 , North America , Mar , 29 , 2016 , 17
98 , 42.1015 , 72.5898 , North America , Mar , 30 , 2016 , 23
99 , 42.1015 , 72.5898 , North America , Mar , 31 , 2016 , 18
100 , 42.1015 , 72.5898 , North America , Apr , 1 , 2016 , 41
101 , 22.9068 , 43.1729 , South America , Jan , 1 , 2015 , 83
102 , 22.9068 , 43.1729 , South America , Jan , 2 , 2015 , 97
103 , 22.9068 , 43.1729 , South America , Jan , 3 , 2015 , 73
104 , 22.9068 , 43.1729 , South America , Jan , 4 , 2015 , 96
105 , 22.9068 , 43.1729 , South America , Jan , 5 , 2015 , 91
106 , 22.9068 , 43.1729 , South America , Jan , 6 , 2015 , 100
107 , 22.9068 , 43.1729 , South America , Jan , 7 , 2015 , 70
108 , 22.9068 , 43.1729 , South America , Jan , 8 , 2015 , 94
109 , 22.9068 , 43.1729 , South America , Jan , 9 , 2015 , 84
110 , 22.9068 , 43.1729 , South America , Jan , 10 , 2015 , 92
111 , 22.9068 , 43.1729 , South America , Jan , 11 , 2015 , 71
112 , 22.9068 , 43.1729 , South America , Jan , 12 , 2015 , 91
113 , 22.9068 , 43.1729 , South America , Jan , 13 , 2015 , 98
114 , 22.9068 , 43.1729 , South America , Jan , 14 , 2015 , 98
115 , 22.9068 , 43.1729 , South America , Jan , 15 , 2015 , 79
116 , 22.9068 , 43.1729 , South America , Jan , 16 , 2015 , 75
117 , 22.9068 , 43.1729 , South America , Jan , 17 , 2015 , 90
118 , 22.9068 , 43.1729 , South America , Jan , 18 , 2015 , 83
119 , 22.9068 , 43.1729 , South America , Jan , 19 , 2015 , 99
120 , 22.9068 , 43.1729 , South America , Jan , 20 , 2015 , 94
121 , 22.9068 , 43.1729 , South America , Jan , 21 , 2015 , 79
122 , 22.9068 , 43.1729 , South America , Jan , 22 , 2015 , 96
